Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:K:rrcc                 0.002          0.004          0.994          
K:K:rrccr                0.012          0.016          0.972          
K:K:rrccrr               0.000          0.000          0.999          
K:K:rrccrrr              0.004          0.012          0.983          
K:K:rrccrrrr             0.000          1.000          0.000          
K:K:rrcr                 0.002          0.005          0.994          
K:K:rrcrr                0.002          0.005          0.993          
K:K:rrcrrr               0.000          0.003          0.996          
K:K:rrcrrrr              0.000          0.999          0.000          
K:K:rrrc                 0.000          0.006          0.994          
K:K:rrrcc                0.000          0.002          0.997          
K:K:rrrccr               0.030          0.179          0.791          
K:K:rrrccrr              0.000          0.000          0.999          
K:K:rrrccrrr             0.012          0.098          0.890          
K:K:rrrccrrrr            0.000          1.000          0.000          
K:K:rrrcr                0.000          0.002          0.997          
K:K:rrrcrr               0.000          0.001          0.998          
K:K:rrrcrrr              0.000          0.000          0.999          
K:K:rrrcrrrr             0.000          1.000          0.000          
K:K:rrrrc                0.000          0.183          0.817          
K:K:rrrrcc               0.001          0.011          0.987          
K:K:rrrrccr              0.000          0.004          0.996          
K:K:rrrrccrr             0.000          0.003          0.997          
K:K:rrrrccrrr            0.000          0.001          0.999          
K:K:rrrrccrrrr           0.000          1.000          0.000          
K:K:rrrrcr               0.001          0.012          0.987          
K:K:rrrrcrr              0.000          0.000          1.000          
K:K:rrrrcrrr             0.000          0.005          0.995          
K:K:rrrrcrrrr            0.000          1.000          0.000          
K:Q:cc                   0.004          0.942          0.054          
K:Q:ccc                  0.008          0.978          0.014          
K:Q:cccr                 0.197          0.796          0.007          
K:Q:cccrr                0.185          0.556          0.259          
K:Q:cccrrr               0.068          0.286          0.646          
K:Q:cccrrrr              0.367          0.633          0.000          
K:Q:ccr                  0.342          0.648          0.011          
K:Q:ccrr                 0.815          0.143          0.042          
K:Q:ccrrr                0.252          0.294          0.454          
K:Q:ccrrrr               0.292          0.708          0.000          
K:Q:crc                  0.003          0.994          0.003          
K:Q:crcc                 0.001          0.933          0.066          
K:Q:crccr                0.001          0.998          0.001          
K:Q:crccrr               0.148          0.846          0.006          
K:Q:crccrrr              0.259          0.281          0.460          
K:Q:crccrrrr             0.474          0.526          0.000          
K:Q:crcr                 0.064          0.929          0.007          
K:Q:crcrr                0.312          0.343          0.346          
K:Q:crcrrr               0.052          0.319          0.629          
K:Q:crcrrrr              0.453          0.547          0.000          
K:Q:crrc                 0.002          0.977          0.021          
K:Q:crrcc                0.110          0.434          0.455          
K:Q:crrccr               0.211          0.779          0.009          
K:Q:crrccrr              0.081          0.811          0.107          
K:Q:crrccrrr             0.026          0.241          0.733          
K:Q:crrccrrrr            0.365          0.635          0.000          
K:Q:crrcr                0.110          0.535          0.355          
K:Q:crrcrr               0.037          0.253          0.710          
K:Q:crrcrrr              0.105          0.447          0.449          
K:Q:crrcrrrr             0.030          0.970          0.000          
K:Q:crrrc                0.011          0.011          0.978          
K:Q:crrrcc               0.000          0.726          0.273          
K:Q:crrrccr              0.318          0.333          0.349          
K:Q:crrrccrr             0.000          0.969          0.030          
K:Q:crrrccrrr            0.303          0.313          0.384          
K:Q:crrrccrrrr           0.010          0.990          0.000          
K:Q:crrrcr               0.014          0.966          0.020          
K:Q:crrrcrr              0.003          0.993          0.004          
K:Q:crrrcrrr             0.439          0.331          0.231          
K:Q:crrrcrrrr            0.468          0.532          0.000          
K:Q:crrrrc               0.000          0.952          0.047          
K:Q:crrrrcc              0.000          0.942          0.057          
K:Q:crrrrccr             0.000          0.982          0.017          
K:Q:crrrrccrr            0.001          0.022          0.977          
K:Q:crrrrccrrr           0.004          0.017          0.979          
K:Q:crrrrccrrrr          0.000          0.999          0.000          
K:Q:crrrrcr              0.000          0.456          0.544          
K:Q:crrrrcrr             0.413          0.145          0.442          
K:Q:crrrrcrrr            0.000          0.997          0.003          
K:Q:crrrrcrrrr           0.006          0.994          0.000          
K:Q:rc                   0.002          0.984          0.014          
K:Q:rcc                  0.003          0.665          0.332          
K:Q:rccr                 0.226          0.771          0.003          
K:Q:rccrr                0.981          0.010          0.010          
K:Q:rccrrr               0.042          0.110          0.848          
K:Q:rccrrrr              0.212          0.788          0.000          
K:Q:rcr                  0.003          0.989          0.008          
K:Q:rcrr                 0.374          0.496          0.130          
K:Q:rcrrr                0.133          0.232          0.635          
K:Q:rcrrrr               0.120          0.880          0.000          
K:Q:rrc                  0.005          0.014          0.981          
K:Q:rrcc                 0.002          0.757          0.242          
K:Q:rrccr                0.115          0.407          0.477          
K:Q:rrccrr               0.409          0.577          0.013          
K:Q:rrccrrr              0.084          0.238          0.678          
K:Q:rrccrrrr             0.076          0.924          0.000          
K:Q:rrcr                 0.166          0.825          0.008          
K:Q:rrcrr                0.986          0.005          0.009          
K:Q:rrcrrr               0.061          0.308          0.631          
K:Q:rrcrrrr              0.106          0.894          0.000          
K:Q:rrrc                 0.000          0.966          0.034          
K:Q:rrrcc                0.000          0.003          0.996          
K:Q:rrrccr               0.048          0.950          0.002          
K:Q:rrrccrr              0.000          0.998          0.001          
K:Q:rrrccrrr             0.030          0.264          0.706          
