Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:K:ccc                  0.000          0.000          1.000          
K:K:cccr                 0.000          0.000          0.999          
K:K:cccrr                0.000          0.102          0.897          
K:K:cccrrr               0.000          0.062          0.938          
K:K:cccrrrr              0.000          1.000          0.000          
K:K:ccr                  0.000          0.000          1.000          
K:K:ccrr                 0.000          0.011          0.989          
K:K:ccrrr                0.000          0.100          0.900          
K:K:ccrrrr               0.040          0.960          0.000          
K:K:crc                  0.000          0.307          0.693          
K:K:crcc                 0.000          0.000          1.000          
K:K:crccr                0.000          0.000          1.000          
K:K:crccrr               0.000          0.167          0.833          
K:K:crccrrr              0.000          0.041          0.959          
K:K:crccrrrr             0.000          0.999          0.000          
K:K:crcr                 0.000          0.106          0.894          
K:K:crcrr                0.000          0.011          0.989          
K:K:crcrrr               0.081          0.293          0.627          
K:K:crcrrrr              0.000          1.000          0.000          
K:K:crrc                 0.000          0.015          0.985          
K:K:crrcc                0.000          0.000          1.000          
K:K:crrccr               0.004          0.047          0.949          
K:K:crrccrr              0.000          0.088          0.912          
K:K:crrccrrr             0.002          0.118          0.879          
K:K:crrccrrrr            0.000          1.000          0.000          
K:K:crrcr                0.000          0.122          0.878          
K:K:crrcrr               0.000          0.132          0.868          
K:K:crrcrrr              0.048          0.166          0.786          
K:K:crrcrrrr             0.006          0.994          0.000          
K:K:crrrc                0.000          0.829          0.171          
K:K:crrrcc               0.000          0.097          0.903          
K:K:crrrccr              0.000          0.000          1.000          
K:K:crrrccrr             0.000          0.286          0.714          
K:K:crrrccrrr            0.035          0.077          0.888          
K:K:crrrccrrrr           0.028          0.972          0.000          
K:K:crrrcr               0.000          0.271          0.729          
K:K:crrrcrr              0.000          0.013          0.987          
K:K:crrrcrrr             0.038          0.396          0.567          
K:K:crrrcrrrr            0.003          0.997          0.000          
K:K:crrrrc               0.000          0.381          0.619          
K:K:crrrrcc              0.000          0.062          0.938          
K:K:crrrrccr             0.000          0.001          0.999          
K:K:crrrrccrr            0.000          0.085          0.915          
K:K:crrrrccrrr           0.035          0.138          0.826          
K:K:crrrrccrrrr          0.000          0.999          0.000          
K:K:crrrrcr              0.000          0.241          0.759          
K:K:crrrrcrr             0.000          0.255          0.745          
K:K:crrrrcrrr            0.000          0.291          0.709          
K:K:crrrrcrrrr           0.000          1.000          0.000          
K:K:rc                   0.000          0.010          0.990          
K:K:rcc                  0.000          0.000          1.000          
K:K:rccr                 0.000          0.002          0.997          
K:K:rccrr                0.000          0.000          1.000          
K:K:rccrrr               0.013          0.234          0.753          
K:K:rccrrrr              0.000          1.000          0.000          
K:K:rcr                  0.000          0.045          0.955          
K:K:rcrr                 0.000          0.079          0.921          
K:K:rcrrr                0.051          0.205          0.744          
K:K:rcrrrr               0.000          1.000          0.000          
K:K:rrc                  0.000          0.855          0.145          
K:K:rrcc                 0.000          0.000          0.999          
K:K:rrccr                0.000          0.000          1.000          
K:K:rrccrr               0.000          0.220          0.780          
K:K:rrccrrr              0.029          0.089          0.882          
K:K:rrccrrrr             0.002          0.998          0.000          
K:K:rrcr                 0.000          0.082          0.918          
K:K:rrcrr                0.000          0.073          0.927          
K:K:rrcrrr               0.018          0.307          0.675          
K:K:rrcrrrr              0.000          0.999          0.000          
K:K:rrrc                 0.000          0.410          0.590          
K:K:rrrcc                0.000          0.000          0.999          
K:K:rrrccr               0.000          0.096          0.904          
K:K:rrrccrr              0.000          0.080          0.920          
K:K:rrrccrrr             0.000          0.248          0.752          
K:K:rrrccrrrr            0.000          0.999          0.000          
K:K:rrrcr                0.000          0.030          0.970          
K:K:rrrcrr               0.000          0.124          0.876          
K:K:rrrcrrr              0.000          0.360          0.639          
K:K:rrrcrrrr             0.000          0.999          0.000          
K:K:rrrrc                0.000          0.496          0.504          
K:K:rrrrcc               0.000          0.057          0.943          
K:K:rrrrccr              0.000          0.000          0.999          
